time_s,x_m,y_m,z_m,theta_x_deg,theta_y_deg,theta_z_deg
9.689652,0.723414,0.217162,0.264778,116.918625,78.915215,117.873772
9.739170,0.723530,0.217458,0.264796,117.298904,78.954773,118.310890
9.789347,0.723505,0.217699,0.264450,117.749207,78.983963,118.802254
9.839295,0.723711,0.217848,0.263731,119.215286,79.094780,120.358292
9.889204,0.725303,0.216361,0.264754,121.014664,79.317108,122.200233
9.939504,0.728163,0.213204,0.269140,121.354782,79.658440,122.470528
9.991733,0.731436,0.209347,0.275938,120.592285,80.065681,121.592384
10.069854,0.736309,0.203102,0.289780,117.825043,80.682297,118.646637
10.114341,0.739000,0.199216,0.299717,115.091522,81.004868,115.800468
10.164589,0.741708,0.194990,0.310468,112.007957,81.349121,112.600784
10.219873,0.744488,0.190214,0.322448,108.255341,81.691345,108.710342
10.264688,0.746615,0.186122,0.332136,105.062271,81.944916,105.388031
10.314572,0.748779,0.181493,0.342915,101.336746,82.215179,101.518135
10.365325,0.750792,0.176730,0.353700,97.354828,82.444420,97.377533
10.414302,0.752612,0.171915,0.364547,93.117584,82.642548,92.980568
10.464771,0.754277,0.166876,0.375361,88.740677,82.812744,88.428688
10.495756,0.755159,0.163808,0.381775,86.075783,82.895203,85.653679
10.565702,0.757003,0.156565,0.397062,79.468193,83.020248,78.784439
10.614867,0.758107,0.151171,0.407874,74.716301,83.062019,73.829872
10.664533,0.759004,0.145736,0.418727,69.901367,83.065132,68.806915
10.715934,0.759731,0.140090,0.429604,65.143982,83.011505,63.821194
10.764188,0.760251,0.134422,0.440455,60.458530,82.922409,58.910843
10.814699,0.760570,0.128529,0.451382,55.895470,82.788025,54.100544
10.864603,0.760714,0.122564,0.462113,51.628365,82.619179,49.577011
10.917013,0.760650,0.116551,0.472987,47.448311,82.405434,45.139488
10.964731,0.760375,0.110392,0.483870,43.557041,82.162392,40.976868
11.014768,0.759918,0.104075,0.494635,39.934410,81.889694,37.067226
11.065053,0.759245,0.097696,0.505441,36.561134,81.584526,33.399681
11.114904,0.758380,0.091296,0.516137,33.453701,81.258629,29.993858
11.164689,0.757279,0.084655,0.526990,30.506187,80.902016,26.726559
11.214428,0.756022,0.077942,0.537585,27.821493,80.542976,23.712292
11.265452,0.754519,0.071140,0.548314,25.390114,80.145950,20.940220
11.314404,0.752991,0.064374,0.558471,23.031948,79.788971,18.236477
11.369264,0.751744,0.057305,0.567614,20.526583,79.529716,15.344924
11.414403,0.751108,0.051567,0.573808,18.339588,79.420761,12.823183
11.464803,0.750875,0.046357,0.578756,15.851699,79.430550,10.039097
11.518677,0.750961,0.042809,0.580751,13.426132,79.708107,7.433584
11.565001,0.751212,0.042318,0.580156,11.918635,80.012718,5.935152
11.614540,0.751212,0.042318,0.580156,11.918635,80.012718,5.935152
11.670624,0.751087,0.042602,0.580449,11.491151,79.901436,5.568969
11.715920,0.749955,0.040794,0.583467,11.948619,79.238693,5.944946
11.764633,0.748437,0.038378,0.585793,12.361035,78.607697,6.231714
11.819692,0.746670,0.035608,0.587237,12.783690,78.038628,6.501224
11.867910,0.745193,0.033377,0.588458,13.075910,77.570457,6.672090
11.915214,0.743468,0.030832,0.589996,13.372356,77.039833,6.833985
11.968136,0.741656,0.028175,0.591447,13.668081,76.495087,6.990129
12.014807,0.740078,0.025952,0.592640,13.828964,76.026337,7.038701
12.064552,0.738289,0.023533,0.594148,14.079896,75.499161,7.168669
12.115619,0.736475,0.021095,0.595605,14.323744,74.977371,7.290135
12.164449,0.734698,0.018845,0.596916,14.470727,74.471214,7.334739
12.214538,0.732815,0.016496,0.598379,14.640578,73.948578,7.394315
12.264431,0.730908,0.014193,0.599842,14.802245,73.426651,7.451902
12.314824,0.729039,0.011960,0.601110,14.933005,72.931595,7.485620
12.364634,0.727067,0.009698,0.602653,15.046592,72.393761,7.499309
12.415935,0.725067,0.007421,0.604029,15.175552,71.876907,7.531500
12.465353,0.723048,0.005257,0.605454,15.279613,71.358269,7.551431
12.516212,0.721015,0.003087,0.606841,15.378641,70.839806,7.565611
12.564608,0.718968,0.000956,0.608214,15.466493,70.324944,7.572663
12.615860,0.716840,-0.001188,0.609604,15.550175,69.805885,7.577486
12.666083,0.714714,-0.003246,0.610964,15.629164,69.296455,7.585387
12.716824,0.712566,-0.005275,0.612274,15.681399,68.783592,7.569189
12.764220,0.710358,-0.007328,0.613705,15.740562,68.261711,7.563409
12.814757,0.708122,-0.009314,0.615076,15.802146,67.743813,7.565063
12.867137,0.705919,-0.011294,0.616300,15.860940,67.243401,7.564674
12.916354,0.703624,-0.013252,0.617680,15.891430,66.725060,7.543022
12.965213,0.701291,-0.015171,0.619103,15.938190,66.199554,7.540861
13.040031,0.697815,-0.017850,0.621045,15.970119,65.436424,7.520526
13.090469,0.695496,-0.019593,0.623146,15.980912,64.839287,7.507212
13.119356,0.694230,-0.020432,0.624868,15.936740,64.441010,7.470591
13.189603,0.692791,-0.020890,0.627437,15.873086,63.899120,7.477956
13.239684,0.692791,-0.020890,0.627437,15.873086,63.899120,7.477956
13.268577,0.692635,-0.020785,0.627861,15.903357,63.812584,7.551128
13.343764,0.695098,-0.021576,0.621677,16.659269,64.823555,8.162214
13.390017,0.698047,-0.021831,0.614199,17.285301,65.903191,8.673600
13.439940,0.701192,-0.021885,0.606076,17.896978,67.027939,9.177950
13.490016,0.704041,-0.022059,0.598355,18.566933,68.091805,9.735725
13.539586,0.706791,-0.022122,0.590513,19.281101,69.158066,10.346465
13.569648,0.708413,-0.022228,0.585671,19.772371,69.813126,10.767169
13.639365,0.711964,-0.022635,0.574597,20.973547,71.300026,11.788963
13.691279,0.714315,-0.022923,0.566718,21.969679,72.346191,12.656929
13.740891,0.716539,-0.023109,0.558803,23.057369,73.392410,13.624032
13.789789,0.718696,-0.023432,0.550810,24.299133,74.430748,14.729931
