time_s,fx_N,fy_N,fz_N,tx_Nm,ty_Nm,tz_Nm
17.634929,4.097049,-1.922017,-1.529431,0.168394,0.029172,1.042683
17.695324,4.141757,-2.075244,-1.613364,0.218065,0.025432,1.105098
17.726557,4.142719,-2.258446,-1.776648,0.253561,-0.065153,1.152147
17.795209,3.825042,-2.037703,-1.582243,0.205368,-0.036413,1.086368
17.844976,4.196955,-2.026216,-1.770452,0.188740,-0.036099,1.093785
17.895458,4.286963,-2.076090,-1.544999,0.193789,0.001076,1.069098
17.945326,4.034806,-1.963088,-1.715905,0.186115,-0.020899,1.061556
18.002296,4.030398,-1.984998,-1.580792,0.183500,-0.008813,1.049549
18.046093,4.231783,-2.027180,-1.670619,0.192089,0.002360,1.051532
18.095238,4.071412,-1.944895,-1.538021,0.163273,0.000577,1.053375
18.148971,4.105137,-1.946014,-1.745641,0.159309,-0.042061,1.045974
18.195258,4.222593,-2.022164,-1.639471,0.202043,-0.003317,1.096906
18.246274,4.203323,-2.149343,-1.545319,0.228893,0.026857,1.109817
18.299711,4.120859,-1.999615,-1.688384,0.223821,-0.001156,1.090332
18.345936,4.141532,-2.012915,-1.529577,0.205314,0.015326,1.072340
18.399129,4.259553,-2.084278,-1.720373,0.202882,-0.018959,1.073560
18.449974,4.023420,-1.978508,-1.572267,0.205670,0.010663,1.073065
18.495107,4.106283,-2.076035,-1.657112,0.204385,-0.017945,1.093718
